Year,Spouse_Type,Age_Group,Education_Level,Marriage_Count
2001,,25 - 29세,고등학교,63871
2001,,25 - 29세,대학(교),-
2001,,25 - 29세,대학원 이상,-
2001,,30 - 34세,초등학교,653
2001,,30 - 34세,중학교,2693
2001,,30 - 34세,고등학교,20306
2001,,30 - 34세,대학(교),-
2001,,30 - 34세,대학원 이상,-
2001,,35 - 39세,초등학교,1191
2001,,35 - 39세,중학교,3373
2001,,35 - 39세,고등학교,9293
2001,,35 - 39세,대학(교),-
2001,,35 - 39세,대학원 이상,-
2002,,20 - 24세,초등학교,229
2002,,20 - 24세,중학교,1311
2002,,20 - 24세,고등학교,11936
2002,,20 - 24세,대학(교),-
2002,,20 - 24세,대학원 이상,-
2002,,25 - 29세,초등학교,364
2002,,25 - 29세,중학교,2126
2002,,25 - 29세,고등학교,49142
2002,,25 - 29세,대학(교),-
2002,,25 - 29세,대학원 이상,-
2002,,30 - 34세,초등학교,513
2002,,30 - 34세,중학교,2367
2002,,30 - 34세,고등학교,34947
2002,,30 - 34세,대학(교),-
2002,,30 - 34세,대학원 이상,-
2002,,35 - 39세,초등학교,884
2002,,35 - 39세,중학교,2602
2002,,35 - 39세,고등학교,12562
2002,,35 - 39세,대학(교),-
2002,,35 - 39세,대학원 이상,-
2002,,20 - 24세,초등학교,335
2002,,20 - 24세,중학교,2150
2002,,20 - 24세,고등학교,36462
2002,,20 - 24세,대학(교),-
2002,,20 - 24세,대학원 이상,-
2002,,25 - 29세,초등학교,416
2002,,25 - 29세,중학교,2043
2002,,25 - 29세,고등학교,54741
2002,,25 - 29세,대학(교),-
2002,,25 - 29세,대학원 이상,-
2002,,30 - 34세,초등학교,560
2002,,30 - 34세,중학교,2296
2002,,30 - 34세,고등학교,20307
2002,,30 - 34세,대학(교),-
2002,,30 - 34세,대학원 이상,-
2002,,35 - 39세,초등학교,919
2002,,35 - 39세,중학교,2971
2002,,35 - 39세,고등학교,9004
2002,,35 - 39세,대학(교),-
2002,,35 - 39세,대학원 이상,-
2003,,20 - 24세,초등학교,178
2003,,20 - 24세,중학교,1203
2003,,20 - 24세,고등학교,10104
2003,,20 - 24세,대학(교),-
2003,,20 - 24세,대학원 이상,-
2003,,25 - 29세,초등학교,336
2003,,25 - 29세,중학교,1693
2003,,25 - 29세,고등학교,41144
2003,,25 - 29세,대학(교),-
2003,,25 - 29세,대학원 이상,-
2003,,30 - 34세,초등학교,366
2003,,30 - 34세,중학교,2079
2003,,30 - 34세,고등학교,33084
2003,,30 - 34세,대학(교),-
2003,,30 - 34세,대학원 이상,-
2003,,35 - 39세,초등학교,789
2003,,35 - 39세,중학교,2487
2003,,35 - 39세,고등학교,13587
2003,,35 - 39세,대학(교),-
2003,,35 - 39세,대학원 이상,-
2003,,20 - 24세,초등학교,389
2003,,20 - 24세,중학교,2361
2003,,20 - 24세,고등학교,31132
2003,,20 - 24세,대학(교),-
2003,,20 - 24세,대학원 이상,-
2003,,25 - 29세,초등학교,426
2003,,25 - 29세,중학교,1976
2003,,25 - 29세,고등학교,47869
2003,,25 - 29세,대학(교),-
2003,,25 - 29세,대학원 이상,-
2003,,30 - 34세,초등학교,488
2003,,30 - 34세,중학교,2425
2003,,30 - 34세,고등학교,20691
2003,,30 - 34세,대학(교),-
2003,,30 - 34세,대학원 이상,-
2003,,35 - 39세,초등학교,796
2003,,35 - 39세,중학교,3083
2003,,35 - 39세,고등학교,9213
2003,,35 - 39세,대학(교),-
2003,,35 - 39세,대학원 이상,-
2004,,20 - 24세,초등학교,164
2004,,20 - 24세,중학교,1078
2004,,20 - 24세,고등학교,9256
2004,,20 - 24세,대학(교),-
2004,,20 - 24세,대학원 이상,-
2004,,25 - 29세,초등학교,286
2004,,25 - 29세,중학교,1404
2004,,25 - 29세,고등학교,35108
2004,,25 - 29세,대학(교),-
2004,,25 - 29세,대학원 이상,-
2004,,30 - 34세,초등학교,366
2004,,30 - 34세,중학교,1944
2004,,30 - 34세,고등학교,33563
2004,,30 - 34세,대학(교),-
2004,,30 - 34세,대학원 이상,-
2004,,35 - 39세,초등학교,706
2004,,35 - 39세,중학교,2343
2004,,35 - 39세,고등학교,15324
2004,,35 - 39세,대학(교),-
2004,,35 - 39세,대학원 이상,-
2004,,20 - 24세,초등학교,341
2004,,20 - 24세,중학교,2331
2004,,20 - 24세,고등학교,27688
2004,,20 - 24세,대학(교),-
2004,,20 - 24세,대학원 이상,-
2004,,25 - 29세,초등학교,349
2004,,25 - 29세,중학교,1820
2004,,25 - 29세,고등학교,43551
2004,,25 - 29세,대학(교),-
2004,,25 - 29세,대학원 이상,-
2004,,30 - 34세,초등학교,457
2004,,30 - 34세,중학교,2446
2004,,30 - 34세,고등학교,21701
2004,,30 - 34세,대학(교),-
2004,,30 - 34세,대학원 이상,-
2004,,35 - 39세,초등학교,726
2004,,35 - 39세,중학교,3281
2004,,35 - 39세,고등학교,10777
2004,,35 - 39세,대학(교),-
2004,,35 - 39세,대학원 이상,-
2005,,20 - 24세,초등학교,158
2005,,20 - 24세,중학교,996
2005,,20 - 24세,고등학교,8372
2005,,20 - 24세,대학(교),-
2005,,20 - 24세,대학원 이상,-
2005,,25 - 29세,초등학교,261
2005,,25 - 29세,중학교,1392
2005,,25 - 29세,고등학교,32326
2005,,25 - 29세,대학(교),-
2005,,25 - 29세,대학원 이상,-
2005,,30 - 34세,초등학교,358
2005,,30 - 34세,중학교,1863
2005,,30 - 34세,고등학교,32479
2005,,30 - 34세,대학(교),-
2005,,30 - 34세,대학원 이상,-
2005,,35 - 39세,초등학교,602
2005,,35 - 39세,중학교,2456
2005,,35 - 39세,고등학교,17454
2005,,35 - 39세,대학(교),-
2005,,35 - 39세,대학원 이상,-
2005,,20 - 24세,초등학교,449
2005,,20 - 24세,중학교,2949
2005,,20 - 24세,고등학교,24510
2005,,20 - 24세,대학(교),-
2005,,20 - 24세,대학원 이상,-
2005,,25 - 29세,초등학교,357
2005,,25 - 29세,중학교,1925
2005,,25 - 29세,고등학교,42211
2005,,25 - 29세,대학(교),-
2005,,25 - 29세,대학원 이상,-
2005,,30 - 34세,초등학교,384
2005,,30 - 34세,중학교,2357
2005,,30 - 34세,고등학교,22667
2005,,30 - 34세,대학(교),-
2005,,30 - 34세,대학원 이상,-
2005,,35 - 39세,초등학교,660
2005,,35 - 39세,중학교,3203
2005,,35 - 39세,고등학교,11740
2005,,35 - 39세,대학(교),-
2005,,35 - 39세,대학원 이상,-
2006,,20 - 24세,초등학교,132
2006,,20 - 24세,중학교,919
2006,,20 - 24세,고등학교,8404
2006,,20 - 24세,대학(교),-
2006,,20 - 24세,대학원 이상,-
2006,,25 - 29세,초등학교,205
2006,,25 - 29세,중학교,1350
2006,,25 - 29세,고등학교,33494
2006,,25 - 29세,대학(교),-
2006,,25 - 29세,대학원 이상,-
2006,,30 - 34세,초등학교,285
2006,,30 - 34세,중학교,1672
2006,,30 - 34세,고등학교,33074
2006,,30 - 34세,대학(교),-
2006,,30 - 34세,대학원 이상,-
2006,,35 - 39세,초등학교,489
2006,,35 - 39세,중학교,2142
2006,,35 - 39세,고등학교,18960
2006,,35 - 39세,대학(교),-
2006,,35 - 39세,대학원 이상,-
2006,,20 - 24세,초등학교,446
2006,,20 - 24세,중학교,3375
2006,,20 - 24세,고등학교,24448
2006,,20 - 24세,대학(교),-
2006,,20 - 24세,대학원 이상,-
2006,,25 - 29세,초등학교,334
2006,,25 - 29세,중학교,2125
2006,,25 - 29세,고등학교,44242
2006,,25 - 29세,대학(교),-
2006,,25 - 29세,대학원 이상,-
2006,,30 - 34세,초등학교,314
2006,,30 - 34세,중학교,1892
2006,,30 - 34세,고등학교,22910
2006,,30 - 34세,대학(교),-
2006,,30 - 34세,대학원 이상,-
2006,,35 - 39세,초등학교,550
2006,,35 - 39세,중학교,2362
2006,,35 - 39세,고등학교,11827
2006,,35 - 39세,대학(교),-
2006,,35 - 39세,대학원 이상,-
2007,,20 - 24세,초등학교,141
2007,,20 - 24세,중학교,760
2007,,20 - 24세,고등학교,7570
2007,,20 - 24세,대학(교),-
2007,,20 - 24세,대학원 이상,-
2007,,25 - 29세,초등학교,208
2007,,25 - 29세,중학교,1417
2007,,25 - 29세,고등학교,33077
2007,,25 - 29세,대학(교),-
2007,,25 - 29세,대학원 이상,-
2007,,30 - 34세,초등학교,281
2007,,30 - 34세,중학교,1445
2007,,30 - 34세,고등학교,32368
2007,,30 - 34세,대학(교),-
2007,,30 - 34세,대학원 이상,-
2007,,35 - 39세,초등학교,382
2007,,35 - 39세,중학교,1902
2007,,35 - 39세,고등학교,20375
2007,,35 - 39세,대학(교),-
2007,,35 - 39세,대학원 이상,-
2007,,20 - 24세,초등학교,385
2007,,20 - 24세,중학교,3245
2007,,20 - 24세,고등학교,21677
2007,,20 - 24세,대학(교),-
2007,,20 - 24세,대학원 이상,-
2007,,25 - 29세,초등학교,328
2007,,25 - 29세,중학교,2194
2007,,25 - 29세,고등학교,44987
2007,,25 - 29세,대학(교),-
2007,,25 - 29세,대학원 이상,-
2007,,30 - 34세,초등학교,328
2007,,30 - 34세,중학교,1793
2007,,30 - 34세,고등학교,23722
2007,,30 - 34세,대학(교),-
2007,,30 - 34세,대학원 이상,-
2007,,35 - 39세,초등학교,503
2007,,35 - 39세,중학교,2223
2007,,35 - 39세,고등학교,12858
2007,,35 - 39세,대학(교),-
2007,,35 - 39세,대학원 이상,-
2008,,20 - 24세,초등학교,100
2008,,20 - 24세,중학교,670
2008,,20 - 24세,고등학교,6148
2008,,20 - 24세,대학(교),4000
2008,,20 - 24세,대학원 이상,99
2008,,25 - 29세,초등학교,176
2008,,25 - 29세,중학교,1287
2008,,25 - 29세,고등학교,29563
2008,,25 - 29세,대학(교),70418
2008,,25 - 29세,대학원 이상,5276
2008,,30 - 34세,초등학교,220
2008,,30 - 34세,중학교,1248
2008,,30 - 34세,고등학교,28654
2008,,30 - 34세,대학(교),68971
2008,,30 - 34세,대학원 이상,10762
2008,,35 - 39세,초등학교,328
2008,,35 - 39세,중학교,1723
2008,,35 - 39세,고등학교,20045
2008,,35 - 39세,대학(교),19923
2008,,35 - 39세,대학원 이상,3454
2008,,20 - 24세,초등학교,371
2008,,20 - 24세,중학교,2712
2008,,20 - 24세,고등학교,17983
2008,,20 - 24세,대학(교),15232
2008,,20 - 24세,대학원 이상,296
2008,,25 - 29세,초등학교,272
2008,,25 - 29세,중학교,2125
2008,,25 - 29세,고등학교,39619
2008,,25 - 29세,대학(교),104717
2008,,25 - 29세,대학원 이상,7761
2008,,30 - 34세,초등학교,294
2008,,30 - 34세,중학교,1510
2008,,30 - 34세,고등학교,22211
2008,,30 - 34세,대학(교),38981
2008,,30 - 34세,대학원 이상,5388
2008,,35 - 39세,초등학교,398
2008,,35 - 39세,중학교,1876
2008,,35 - 39세,고등학교,12825
2008,,35 - 39세,대학(교),8589
2008,,35 - 39세,대학원 이상,1251
2009,,20 - 24세,초등학교,90
2009,,20 - 24세,중학교,499
2009,,20 - 24세,고등학교,5102
2009,,20 - 24세,대학(교),3305
2009,,20 - 24세,대학원 이상,79
2009,,25 - 29세,초등학교,199
2009,,25 - 29세,중학교,1179
2009,,25 - 29세,고등학교,25721
2009,,25 - 29세,대학(교),65069
2009,,25 - 29세,대학원 이상,4984
2009,,30 - 34세,초등학교,202
2009,,30 - 34세,중학교,1072
2009,,30 - 34세,고등학교,24702
2009,,30 - 34세,대학(교),68889
2009,,30 - 34세,대학원 이상,10458
2009,,35 - 39세,초등학교,272
2009,,35 - 39세,중학교,1470
2009,,35 - 39세,고등학교,18199
2009,,35 - 39세,대학(교),20889
2009,,35 - 39세,대학원 이상,3722
2009,,20 - 24세,초등학교,319
2009,,20 - 24세,중학교,2245
2009,,20 - 24세,고등학교,14456
2009,,20 - 24세,대학(교),12940
2009,,20 - 24세,대학원 이상,259
2009,,25 - 29세,초등학교,293
2009,,25 - 29세,중학교,1854
2009,,25 - 29세,고등학교,33964
2009,,25 - 29세,대학(교),99046
2009,,25 - 29세,대학원 이상,7663
2009,,30 - 34세,초등학교,265
2009,,30 - 34세,중학교,1339
2009,,30 - 34세,고등학교,19955
2009,,30 - 34세,대학(교),42094
2009,,30 - 34세,대학원 이상,5959
2009,,35 - 39세,초등학교,353
2009,,35 - 39세,중학교,1798
2009,,35 - 39세,고등학교,11832
2009,,35 - 39세,대학(교),9109
2009,,35 - 39세,대학원 이상,1479
2010,,20 - 24세,초등학교,70
2010,,20 - 24세,중학교,564
2010,,20 - 24세,고등학교,5432
2010,,20 - 24세,대학(교),3414
2010,,20 - 24세,대학원 이상,88
2010,,25 - 29세,초등학교,153
2010,,25 - 29세,중학교,1285
2010,,25 - 29세,고등학교,24563
2010,,25 - 29세,대학(교),65125
2010,,25 - 29세,대학원 이상,4981
2010,,30 - 34세,초등학교,181
2010,,30 - 34세,중학교,1060
2010,,30 - 34세,고등학교,25455
2010,,30 - 34세,대학(교),77371
2010,,30 - 34세,대학원 이상,11132
2010,,35 - 39세,초등학교,266
2010,,35 - 39세,중학교,1344
2010,,35 - 39세,고등학교,18808
2010,,35 - 39세,대학(교),23701
2010,,35 - 39세,대학원 이상,4310
2010,,20 - 24세,초등학교,292
2010,,20 - 24세,중학교,2593
2010,,20 - 24세,고등학교,14793
2010,,20 - 24세,대학(교),13582
2010,,20 - 24세,대학원 이상,240
2010,,25 - 29세,초등학교,256
2010,,25 - 29세,중학교,1938
2010,,25 - 29세,고등학교,32059
2010,,25 - 29세,대학(교),102885
2010,,25 - 29세,대학원 이상,7879
2010,,30 - 34세,초등학교,240
2010,,30 - 34세,중학교,1346
2010,,30 - 34세,고등학교,20817
2010,,30 - 34세,대학(교),49811
2010,,30 - 34세,대학원 이상,7112
2010,,35 - 39세,초등학교,301
2010,,35 - 39세,중학교,1527
2010,,35 - 39세,고등학교,12181
2010,,35 - 39세,대학(교),10308
2010,,35 - 39세,대학원 이상,1773
2011,,20 - 24세,초등학교,69
2011,,20 - 24세,중학교,540
2011,,20 - 24세,고등학교,5380
2011,,20 - 24세,대학(교),3293
2011,,20 - 24세,대학원 이상,96
2011,,25 - 29세,초등학교,198
2011,,25 - 29세,중학교,1096
2011,,25 - 29세,고등학교,23476
2011,,25 - 29세,대학(교),63512
2011,,25 - 29세,대학원 이상,5038
2011,,30 - 34세,초등학교,194
2011,,30 - 34세,중학교,1075
2011,,30 - 34세,고등학교,25793
2011,,30 - 34세,대학(교),84508
2011,,30 - 34세,대학원 이상,11415
2011,,35 - 39세,초등학교,200
2011,,35 - 39세,중학교,1148
2011,,35 - 39세,고등학교,17632
2011,,35 - 39세,대학(교),25363
2011,,35 - 39세,대학원 이상,4520
2011,,20 - 24세,초등학교,242
2011,,20 - 24세,중학교,2143
2011,,20 - 24세,고등학교,13879
2011,,20 - 24세,대학(교),13641
2011,,20 - 24세,대학원 이상,297
2011,,25 - 29세,초등학교,230
2011,,25 - 29세,중학교,1693
2011,,25 - 29세,고등학교,29335
2011,,25 - 29세,대학(교),101819
2011,,25 - 29세,대학원 이상,8176
2011,,30 - 34세,초등학교,190
2011,,30 - 34세,중학교,1179
2011,,30 - 34세,고등학교,21556
2011,,30 - 34세,대학(교),58406
2011,,30 - 34세,대학원 이상,8116
2011,,35 - 39세,초등학교,266
2011,,35 - 39세,중학교,1179
2011,,35 - 39세,고등학교,11476
2011,,35 - 39세,대학(교),11273
2011,,35 - 39세,대학원 이상,1923
2012,,20 - 24세,초등학교,72
2012,,20 - 24세,중학교,544
2012,,20 - 24세,고등학교,5339
2012,,20 - 24세,대학(교),2946
2012,,20 - 24세,대학원 이상,76
2012,,25 - 29세,초등학교,162
2012,,25 - 29세,중학교,1129
2012,,25 - 29세,고등학교,21083
2012,,25 - 29세,대학(교),56759
2012,,25 - 29세,대학원 이상,4752
2012,,30 - 34세,초등학교,166
2012,,30 - 34세,중학교,1157
2012,,30 - 34세,고등학교,26775
2012,,30 - 34세,대학(교),89202
2012,,30 - 34세,대학원 이상,11996
2012,,35 - 39세,초등학교,203
2012,,35 - 39세,중학교,1005
2012,,35 - 39세,고등학교,16301
2012,,35 - 39세,대학(교),26597
2012,,35 - 39세,대학원 이상,4703
2012,,20 - 24세,초등학교,234
2012,,20 - 24세,중학교,1875
2012,,20 - 24세,고등학교,12995
2012,,20 - 24세,대학(교),12866
2012,,20 - 24세,대학원 이상,239
2012,,25 - 29세,초등학교,224
2012,,25 - 29세,중학교,1558
2012,,25 - 29세,고등학교,25433
2012,,25 - 29세,대학(교),95879
2012,,25 - 29세,대학원 이상,8139
2012,,30 - 34세,초등학교,169
2012,,30 - 34세,중학교,1209
2012,,30 - 34세,고등학교,22072
2012,,30 - 34세,대학(교),64957
2012,,30 - 34세,대학원 이상,9093
2012,,35 - 39세,초등학교,194
2012,,35 - 39세,중학교,1007
2012,,35 - 39세,고등학교,11001
2012,,35 - 39세,대학(교),12496
2012,,35 - 39세,대학원 이상,2248
2013,,20 - 24세,초등학교,73
2013,,20 - 24세,중학교,569
2013,,20 - 24세,고등학교,5608
2013,,20 - 24세,대학(교),3036
2013,,20 - 24세,대학원 이상,76
2013,,25 - 29세,초등학교,127
2013,,25 - 29세,중학교,964
2013,,25 - 29세,고등학교,19042
2013,,25 - 29세,대학(교),53448
2013,,25 - 29세,대학원 이상,4575
2013,,30 - 34세,초등학교,175
2013,,30 - 34세,중학교,1202
2013,,30 - 34세,고등학교,26489
2013,,30 - 34세,대학(교),91998
2013,,30 - 34세,대학원 이상,12017
2013,,35 - 39세,초등학교,170
2013,,35 - 39세,중학교,840
2013,,35 - 39세,고등학교,15224
2013,,35 - 39세,대학(교),27312
2013,,35 - 39세,대학원 이상,4629
2013,,20 - 24세,초등학교,167
2013,,20 - 24세,중학교,1702
2013,,20 - 24세,고등학교,12427
2013,,20 - 24세,대학(교),12994
2013,,20 - 24세,대학원 이상,238
2013,,25 - 29세,초등학교,246
2013,,25 - 29세,중학교,1488
2013,,25 - 29세,고등학교,21866
2013,,25 - 29세,대학(교),92274
2013,,25 - 29세,대학원 이상,7997
2013,,30 - 34세,초등학교,180
2013,,30 - 34세,중학교,1111
2013,,30 - 34세,고등학교,21333
2013,,30 - 34세,대학(교),69349
2013,,30 - 34세,대학원 이상,9748
2013,,35 - 39세,초등학교,186
2013,,35 - 39세,중학교,863
2013,,35 - 39세,고등학교,10337
2013,,35 - 39세,대학(교),13284
2013,,35 - 39세,대학원 이상,2395
2014,,20 - 24세,초등학교,62
2014,,20 - 24세,중학교,579
2014,,20 - 24세,고등학교,5766
2014,,20 - 24세,대학(교),3002
2014,,20 - 24세,대학원 이상,95
2014,,25 - 29세,초등학교,140
2014,,25 - 29세,중학교,795
2014,,25 - 29세,고등학교,16591
2014,,25 - 29세,대학(교),47699
2014,,25 - 29세,대학원 이상,3900
2014,,30 - 34세,초등학교,161
2014,,30 - 34세,중학교,1142
2014,,30 - 34세,고등학교,23866
2014,,30 - 34세,대학(교),85467
2014,,30 - 34세,대학원 이상,11638
2014,,35 - 39세,초등학교,175
2014,,35 - 39세,중학교,787
2014,,35 - 39세,고등학교,13796
2014,,35 - 39세,대학(교),27750
2014,,35 - 39세,대학원 이상,4373
2014,,20 - 24세,초등학교,164
2014,,20 - 24세,중학교,1468
2014,,20 - 24세,고등학교,11385
2014,,20 - 24세,대학(교),12359
2014,,20 - 24세,대학원 이상,212
2014,,25 - 29세,초등학교,186
2014,,25 - 29세,중학교,1230
2014,,25 - 29세,고등학교,18336
2014,,25 - 29세,대학(교),83543
2014,,25 - 29세,대학원 이상,7116
2014,,30 - 34세,초등학교,177
2014,,30 - 34세,중학교,1008
2014,,30 - 34세,고등학교,19106
2014,,30 - 34세,대학(교),66508
2014,,30 - 34세,대학원 이상,9534
2014,,35 - 39세,초등학교,146
2014,,35 - 39세,중학교,741
2014,,35 - 39세,고등학교,10027
2014,,35 - 39세,대학(교),14358
2014,,35 - 39세,대학원 이상,2597
2015,,20 - 24세,초등학교,67
2015,,20 - 24세,중학교,523
2015,,20 - 24세,고등학교,5815
2015,,20 - 24세,대학(교),2997
2015,,20 - 24세,대학원 이상,88
2015,,25 - 29세,초등학교,117
2015,,25 - 29세,중학교,704
2015,,25 - 29세,고등학교,16128
2015,,25 - 29세,대학(교),45549
2015,,25 - 29세,대학원 이상,3904
2015,,30 - 34세,초등학교,148
2015,,30 - 34세,중학교,962
2015,,30 - 34세,고등학교,22512
2015,,30 - 34세,대학(교),84819
2015,,30 - 34세,대학원 이상,11305
2015,,35 - 39세,초등학교,150
2015,,35 - 39세,중학교,746
2015,,35 - 39세,고등학교,13440
2015,,35 - 39세,대학(교),30083
2015,,35 - 39세,대학원 이상,4389
2015,,20 - 24세,초등학교,144
2015,,20 - 24세,중학교,1310
2015,,20 - 24세,고등학교,11115
2015,,20 - 24세,대학(교),12387
2015,,20 - 24세,대학원 이상,212
2015,,25 - 29세,초등학교,171
2015,,25 - 29세,중학교,1124
2015,,25 - 29세,고등학교,17195
2015,,25 - 29세,대학(교),82603
2015,,25 - 29세,대학원 이상,6960
2015,,30 - 34세,초등학교,174
2015,,30 - 34세,중학교,890
2015,,30 - 34세,고등학교,17699
2015,,30 - 34세,대학(교),66624
2015,,30 - 34세,대학원 이상,9372
2015,,35 - 39세,초등학교,122
2015,,35 - 39세,중학교,648
2015,,35 - 39세,고등학교,9749
2015,,35 - 39세,대학(교),16112
2015,,35 - 39세,대학원 이상,2768
2016,,20 - 24세,초등학교,48
2016,,20 - 24세,중학교,478
2016,,20 - 24세,고등학교,5200
2016,,20 - 24세,대학(교),2543
2016,,20 - 24세,대학원 이상,68
2016,,25 - 29세,초등학교,82
2016,,25 - 29세,중학교,618
2016,,25 - 29세,고등학교,14667
2016,,25 - 29세,대학(교),40957
2016,,25 - 29세,대학원 이상,3269
2016,,30 - 34세,초등학교,149
2016,,30 - 34세,중학교,872
2016,,30 - 34세,고등학교,19670
2016,,30 - 34세,대학(교),76070
2016,,30 - 34세,대학원 이상,9975
2016,,35 - 39세,초등학교,156
2016,,35 - 39세,중학교,724
2016,,35 - 39세,고등학교,12731
2016,,35 - 39세,대학(교),29445
2016,,35 - 39세,대학원 이상,4199
2016,,20 - 24세,초등학교,110
2016,,20 - 24세,중학교,1090
2016,,20 - 24세,고등학교,10074
2016,,20 - 24세,대학(교),10858
2016,,20 - 24세,대학원 이상,193
2016,,25 - 29세,초등학교,140
2016,,25 - 29세,중학교,1021
2016,,25 - 29세,고등학교,15011
2016,,25 - 29세,대학(교),75873
2016,,25 - 29세,대학원 이상,5990
2016,,30 - 34세,초등학교,178
2016,,30 - 34세,중학교,915
2016,,30 - 34세,고등학교,15372
2016,,30 - 34세,대학(교),60264
2016,,30 - 34세,대학원 이상,8539
2016,,35 - 39세,초등학교,135
2016,,35 - 39세,중학교,660
2016,,35 - 39세,고등학교,9137
2016,,35 - 39세,대학(교),16398
2016,,35 - 39세,대학원 이상,2770
2017,,20 - 24세,초등학교,62
2017,,20 - 24세,중학교,488
2017,,20 - 24세,고등학교,4786
2017,,20 - 24세,대학(교),2234
2017,,20 - 24세,대학원 이상,50
2017,,25 - 29세,초등학교,168
2017,,25 - 29세,중학교,690
2017,,25 - 29세,고등학교,14242
2017,,25 - 29세,대학(교),37270
2017,,25 - 29세,대학원 이상,2982
2017,,30 - 34세,초등학교,215
2017,,30 - 34세,중학교,979
2017,,30 - 34세,고등학교,17630
2017,,30 - 34세,대학(교),66668
2017,,30 - 34세,대학원 이상,8928
2017,,35 - 39세,초등학교,146
2017,,35 - 39세,중학교,714
2017,,35 - 39세,고등학교,12462
2017,,35 - 39세,대학(교),28607
2017,,35 - 39세,대학원 이상,4059
2017,,20 - 24세,초등학교,142
2017,,20 - 24세,중학교,1031
2017,,20 - 24세,고등학교,9208
2017,,20 - 24세,대학(교),9087
2017,,20 - 24세,대학원 이상,161
2017,,25 - 29세,초등학교,249
2017,,25 - 29세,중학교,1104
2017,,25 - 29세,고등학교,14005
2017,,25 - 29세,대학(교),69511
2017,,25 - 29세,대학원 이상,5501
2017,,30 - 34세,초등학교,236
2017,,30 - 34세,중학교,987
2017,,30 - 34세,고등학교,13290
2017,,30 - 34세,대학(교),54063
2017,,30 - 34세,대학원 이상,7791
2017,,35 - 39세,초등학교,159
2017,,35 - 39세,중학교,654
2017,,35 - 39세,고등학교,8885
2017,,35 - 39세,대학(교),16406
2017,,35 - 39세,대학원 이상,2795
2018,,20 - 24세,초등학교,57
2018,,20 - 24세,중학교,373
2018,,20 - 24세,고등학교,4180
2018,,20 - 24세,대학(교),1894
2018,,20 - 24세,대학원 이상,49
2018,,25 - 29세,초등학교,90
2018,,25 - 29세,중학교,624
2018,,25 - 29세,고등학교,13992
2018,,25 - 29세,대학(교),35419
2018,,25 - 29세,대학원 이상,2969
2018,,30 - 34세,초등학교,123
2018,,30 - 34세,중학교,777
2018,,30 - 34세,고등학교,16004
2018,,30 - 34세,대학(교),62986
2018,,30 - 34세,대학원 이상,8503
2018,,35 - 39세,초등학교,127
2018,,35 - 39세,중학교,749
2018,,35 - 39세,고등학교,12074
2018,,35 - 39세,대학(교),28778
2018,,35 - 39세,대학원 이상,4166
2018,,20 - 24세,초등학교,105
2018,,20 - 24세,중학교,927
2018,,20 - 24세,고등학교,8573
